"respondent_id","age_group","gender","education","region","completion_time_sec","attention_check","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","flag_duplicate_id","flag_fast_response","item_missing_rate","flag_high_missingness","unique_likert_values","flag_straight_lining","flag_attention_check_failed","quality_flag_count","exclude_from_analysis"
"R00044","18-29","Male","Some college","Northeast",494,"Correct",1,4,2,1,5,5,2,1,5,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00045","30-44","Female","Some college","West",248,"Correct",NA,3,2,3,1,2,4,5,4,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00046","30-44","Male","Graduate","South",418,"Correct",3,3,3,4,5,3,2,1,4,4,TRUE,FALSE,0,FALSE,5,FALSE,FALSE,1,FALSE
"R00047","65+","Female","Graduate","South",535,"Correct",1,4,3,3,4,5,1,5,3,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00048","30-44","Female","High school or less","West",311,"Correct",3,2,3,2,5,4,3,5,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00049","18-29","Female","Graduate","West",242,"Correct",4,2,5,5,4,4,5,2,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00050","30-44","Female","Bachelor's","West",457,"Correct",NA,2,4,1,5,1,4,3,2,3,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00051","65+","Male","Bachelor's","Midwest",204,"Correct",5,3,5,2,5,4,5,5,5,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00052","18-29","Female","Graduate","South",850,"Correct",4,1,2,4,4,2,5,2,1,NA,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00053","65+","Female","Some college","Northeast",401,"Correct",NA,4,5,5,4,4,2,3,1,4,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00054","45-64","Female","High school or less","West",246,"Correct",1,1,3,NA,4,5,5,5,4,2,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00055","18-29","Male","Graduate","South",335,"Correct",1,1,4,5,1,3,3,3,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00056","45-64","Female","Bachelor's","Midwest",646,"Correct",2,2,2,3,4,4,2,5,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00057","45-64","Female","Some college","West",366,"Correct",4,2,3,5,4,4,4,5,NA,5,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00058","30-44","Male","Bachelor's","Northeast",408,"Correct",2,4,4,3,5,4,4,5,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00059","65+","Female","High school or less","South",599,"Correct",4,5,2,5,2,4,4,4,4,5,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00060","30-44","Female","Graduate","Northeast",718,"Correct",5,3,1,3,4,4,1,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00061","30-44","Male","Bachelor's","Midwest",343,"Correct",4,5,1,4,5,3,4,4,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00062","45-64","Male","Bachelor's","Midwest",571,"Correct",3,2,4,4,3,2,3,NA,4,5,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00063","18-29","Male","Graduate","Midwest",421,"Correct",4,2,4,5,3,4,1,4,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00064","18-29","Female","High school or less","South",486,"Correct",NA,3,5,5,2,1,3,4,4,5,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00065","18-29","Female","High school or less","Midwest",510,"Correct",4,5,3,3,3,5,2,3,5,1,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00066","30-44","Male","Bachelor's","Northeast",561,"Correct",3,2,4,5,4,3,4,3,5,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00067","18-29","Female","Bachelor's","South",482,"Correct",4,2,3,4,4,1,5,2,5,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00068","18-29","Female","Bachelor's","West",348,"Correct",1,3,3,NA,5,3,3,3,1,3,FALSE,FALSE,0.1,FALSE,3,FALSE,FALSE,0,FALSE
"R00069","18-29","Male","Some college","West",517,"Correct",4,2,2,4,4,2,1,4,5,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00070","18-29","Female","Some college","Midwest",477,"Correct",2,5,1,2,3,4,5,3,3,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00071","45-64","Male","Bachelor's","West",537,"Correct",NA,3,3,4,4,4,2,3,1,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00072","18-29","Male","High school or less","Midwest",365,"Correct",3,2,3,2,4,4,5,5,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00073","45-64","Male","Some college","Midwest",506,"Correct",3,2,4,1,3,1,1,1,5,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00074","45-64","Male","High school or less","South",362,"Incorrect",5,4,3,3,3,4,4,4,3,NA,FALSE,FALSE,0.1,FALSE,3,FALSE,TRUE,1,FALSE
"R00075","30-44","Male","Some college","South",485,"Correct",2,4,3,2,1,4,4,5,2,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00076","18-29","Female","High school or less","Midwest",269,"Correct",4,4,5,1,1,3,4,3,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00077","45-64","Female","Some college","Northeast",1219,"Correct",3,3,4,3,5,4,4,3,3,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00078","18-29","Male","Bachelor's","South",467,"Correct",2,3,2,5,3,2,2,5,3,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00079","30-44","Female","High school or less","South",406,"Correct",4,4,2,2,2,2,4,5,NA,3,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00080","45-64","Female","Bachelor's","South",216,"Correct",4,3,4,4,4,2,5,1,4,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00081","30-44","Other","Some college","Midwest",410,"Correct",3,2,2,3,4,2,4,2,1,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00082","65+","Female","High school or less","South",484,"Correct",4,3,4,3,4,4,4,3,1,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00083","45-64","Male","Bachelor's","West",501,"Correct",3,3,4,4,4,5,4,3,3,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00084","65+","Female","Some college","Northeast",410,"Correct",1,3,1,4,1,3,5,1,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00085","30-44","Female","Bachelor's","Midwest",401,"Correct",5,2,2,5,5,5,1,3,2,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00086","65+","Female","Some college","South",539,"Correct",4,3,4,2,3,2,4,5,3,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00087","18-29","Male","Some college","Northeast",694,"Correct",4,4,4,4,4,4,4,4,4,4,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE
"R00088","65+","Male","High school or less","West",302,"Correct",2,1,2,1,3,3,4,2,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00089","30-44","Female","Bachelor's","West",384,"Correct",5,5,4,5,NA,5,4,3,3,2,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00090","30-44","Female","High school or less","Midwest",249,"Correct",1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE
"R00091","65+","Female","Graduate","West",331,"Correct",2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE
"R00092","45-64","Male","Graduate","Northeast",226,"Correct",1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE
"R00093","45-64","Male","Bachelor's","Northeast",299,"Correct",5,1,5,2,4,2,3,5,1,4,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00094","30-44","Female","High school or less","Midwest",769,"Correct",2,3,5,4,3,4,3,1,4,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00095","30-44","Female","Graduate","South",701,"Correct",3,4,4,3,4,5,5,4,4,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00096","30-44","Female","Some college","South",327,"Correct",3,4,3,1,4,4,5,2,4,2,TRUE,FALSE,0,FALSE,5,FALSE,FALSE,1,FALSE
"R00097","45-64","Female","Some college","Midwest",56,"Correct",2,1,5,NA,2,2,4,3,3,4,FALSE,TRUE,0.1,FALSE,5,FALSE,FALSE,1,FALSE
"R00098","18-29","Male","High school or less","South",487,"Correct",1,5,2,4,3,5,4,3,2,4,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00099","18-29","Female","Bachelor's","West",1370,"Correct",3,4,4,4,3,2,4,3,3,2,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00100","18-29","Female","Bachelor's","South",216,"Correct",5,4,4,5,4,4,4,3,4,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00101","30-44","Male","Some college","Northeast",365,"Correct",5,4,4,5,2,4,1,5,1,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00102","45-64","Female","Some college","South",492,"Correct",5,1,5,4,5,5,3,5,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00103","18-29","Male","Bachelor's","South",280,"Correct",2,2,2,4,2,2,1,1,3,3,TRUE,FALSE,0,FALSE,4,FALSE,FALSE,1,FALSE
"R00104","30-44","Female","Graduate","South",422,"Correct",5,4,3,4,4,2,5,4,4,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00105","30-44","Female","Some college","South",252,"Correct",5,5,5,4,5,5,3,5,4,5,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00106","30-44","Other","Some college","South",389,"Correct",3,1,4,2,1,4,4,4,3,2,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00107","18-29","Male","High school or less","Northeast",739,"Incorrect",3,4,4,1,5,4,2,2,4,5,FALSE,FALSE,0,FALSE,5,FALSE,TRUE,1,FALSE
"R00108","18-29","Female","Graduate","Northeast",429,"Correct",5,3,4,5,3,4,3,4,4,1,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00109","30-44","Female","Some college","Northeast",447,"Correct",4,2,4,4,4,5,5,4,4,2,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00110","18-29","Female","Graduate","South",410,"Correct",4,5,4,4,3,4,3,1,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00111","18-29","Female","Some college","South",255,"Correct",5,5,5,3,NA,3,3,2,4,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00112","45-64","Male","Some college","Northeast",121,"Correct",1,4,3,4,2,5,4,3,3,2,TRUE,FALSE,0,FALSE,5,FALSE,FALSE,1,FALSE
"R00113","30-44","Female","Bachelor's","South",518,"Correct",4,4,5,2,4,3,2,2,5,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00114","30-44","Female","Graduate","West",254,"Correct",2,4,5,4,2,5,NA,5,4,1,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00115","30-44","Female","Some college","South",100,"Correct",2,5,2,5,3,3,5,4,5,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00116","30-44","Male","Some college","South",387,"Correct",3,4,3,4,4,1,2,2,2,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00117","18-29","Female","Some college","Northeast",238,"Correct",4,3,5,4,4,5,1,1,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00118","30-44","Male","High school or less","South",434,"Correct",5,4,3,4,4,4,5,1,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00119","30-44","Male","High school or less","South",356,"Correct",5,4,4,5,4,4,5,2,4,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00120","45-64","Female","Some college","Midwest",455,"Correct",5,1,4,5,5,4,3,5,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00121","18-29","Male","Bachelor's","Midwest",742,"Correct",4,5,4,3,2,1,4,4,3,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00122","30-44","Female","Some college","West",247,"Incorrect",1,1,1,2,3,1,3,5,3,4,FALSE,FALSE,0,FALSE,5,FALSE,TRUE,1,FALSE
"R00123","18-29","Male","Bachelor's","West",627,"Correct",3,NA,4,3,5,2,4,3,4,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00124","45-64","Male","Graduate","South",400,"Correct",4,NA,4,3,3,4,4,3,4,4,FALSE,FALSE,0.1,FALSE,2,FALSE,FALSE,0,FALSE
"R00125","18-29","Female","Bachelor's","Midwest",304,"Correct",3,5,1,3,4,2,2,4,5,1,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00126","30-44","Male","Bachelor's","South",299,"Correct",5,5,4,5,2,5,2,4,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00127","18-29","Female","Some college","Midwest",323,"Correct",3,4,5,4,2,5,3,4,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00128","18-29","Male","High school or less","Midwest",36,"Correct",3,5,2,3,3,3,3,2,5,3,FALSE,TRUE,0,FALSE,3,FALSE,FALSE,1,FALSE
"R00129","30-44","Male","Bachelor's","Northeast",209,"Correct",4,3,2,1,3,2,4,2,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00130","18-29","Male","Graduate","Midwest",311,"Correct",3,4,4,3,2,4,3,5,4,3,TRUE,FALSE,0,FALSE,4,FALSE,FALSE,1,FALSE
"R00131","18-29","Female","Some college","South",557,"Correct",4,3,3,2,1,3,5,4,5,5,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00132","18-29","Female","Some college","Northeast",356,"Correct",3,4,5,2,3,3,4,4,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00133","30-44","Female","High school or less","Midwest",283,"Correct",1,4,2,2,2,NA,5,4,4,3,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00134","30-44","Female","Graduate","West",551,"Correct",4,4,3,4,1,4,5,4,3,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00135","45-64","Male","Some college","South",261,"Correct",4,3,4,5,4,5,5,2,4,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00136","30-44","Male","Bachelor's","South",291,"Correct",1,4,4,4,2,5,5,4,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00137","30-44","Female","Some college","West",493,"Correct",5,4,3,1,2,NA,4,1,5,4,FALSE,FALSE,0.1,FALSE,5,FALSE,FALSE,0,FALSE
"R00138","18-29","Female","Some college","Midwest",323,"Correct",1,4,4,4,4,5,2,5,4,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00139","18-29","Female","Bachelor's","South",451,"Correct",4,3,2,3,4,2,3,3,2,4,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00140","30-44","Female","Bachelor's","Northeast",230,"Correct",5,2,2,2,4,3,3,2,NA,4,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00141","18-29","Female","High school or less","West",303,"Correct",4,4,4,3,3,4,3,4,3,2,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00142","30-44","Female","Graduate","West",738,"Correct",4,2,5,3,3,3,2,1,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00143","18-29","Male","Bachelor's","Midwest",399,"Correct",1,3,1,3,4,4,4,5,2,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00144","18-29","Female","Some college","South",677,"Correct",4,2,5,2,4,2,1,4,1,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00145","45-64","Female","Bachelor's","Northeast",243,"Correct",4,3,5,2,3,2,3,4,4,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00146","30-44","Male","Bachelor's","West",253,"Correct",4,5,1,2,2,5,4,5,2,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00147","30-44","Female","Some college","Northeast",413,"Correct",3,4,2,5,5,4,4,NA,5,5,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00148","18-29","Female","Some college","South",695,"Correct",5,3,5,1,3,1,3,2,4,4,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00149","18-29","Female","Graduate","South",267,"Correct",1,1,3,3,5,2,5,1,5,3,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00150","30-44","Male","Bachelor's","South",316,"Correct",3,2,1,5,3,5,3,4,3,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00151","30-44","Male","Some college","South",675,"Correct",2,2,2,2,2,2,2,2,2,2,FALSE,FALSE,0,FALSE,1,TRUE,FALSE,1,FALSE
"R00152","30-44","Male","Bachelor's","Midwest",564,"Correct",2,3,2,5,4,4,3,3,3,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00153","65+","Female","Graduate","South",384,"Correct",5,4,5,NA,2,4,4,2,3,3,FALSE,FALSE,0.1,FALSE,4,FALSE,FALSE,0,FALSE
"R00154","18-29","Female","Bachelor's","West",403,"Correct",3,1,4,4,5,3,2,2,1,2,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00155","45-64","Male","Bachelor's","South",643,"Correct",4,1,4,4,2,4,2,4,2,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00156","45-64","Female","Some college","Midwest",1173,"Correct",4,4,4,5,5,3,5,3,3,3,FALSE,FALSE,0,FALSE,3,FALSE,FALSE,0,FALSE
"R00157","18-29","Female","Bachelor's","South",452,"Correct",3,1,4,4,2,5,3,4,5,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00158","18-29","Female","High school or less","Midwest",572,"Correct",3,3,3,4,4,3,5,4,NA,3,FALSE,FALSE,0.1,FALSE,3,FALSE,FALSE,0,FALSE
"R00159","45-64","Male","Some college","West",465,"Correct",3,4,3,4,1,2,3,2,2,4,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00160","30-44","Other","High school or less","West",565,"Correct",3,5,2,3,4,5,4,3,3,5,FALSE,FALSE,0,FALSE,4,FALSE,FALSE,0,FALSE
"R00161","30-44","Male","High school or less","South",592,"Correct",3,3,5,2,3,1,2,1,4,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
"R00162","18-29","Female","Graduate","South",458,"Incorrect",2,4,3,5,4,3,2,2,4,2,FALSE,FALSE,0,FALSE,4,FALSE,TRUE,1,FALSE
"R00163","65+","Female","Some college","Midwest",530,"Correct",1,4,2,1,5,5,2,5,3,3,FALSE,FALSE,0,FALSE,5,FALSE,FALSE,0,FALSE
